point	title	description	iconSize	iconOffset	icon
47.6197441,6.1560565	Vesoul	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
46.1183000,3.4312800	Vichy	Source : <a href="http://www.yakinfo.com/article/sujet-5051,videosurveillance-l-experience-de-vichy.html">http://www.yakinfo.com/article/sujet-5051,videosurveillance-l-experience-de-vichy.html</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.6131034,5.1488375	Villefontaine 	24 caméras </br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	33,33	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.7041751,7.3100577	Villefranche-sur-Mer	30 caméras + 8 à venir (2008)</br>Source : <a href="http://www.nicematin.com/ta/cam%E9ras/122820/villefranche-sur-mer-installation-de-trois-nouvelles-cameras-de-videosurveillance">http://www.nicematin.com/ta/cam%E9ras/122820/villefranche-sur-mer-installation-de-trois-nouvelles-cameras-de-videosurveillance</> 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9355120,2.3319451	Villeneuve-la-Garenne	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.6424602,7.1344685	Villeneuve-Loubet 	15 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.4098587,0.7061981	Villeneuve-sur-lot	13 caméras </br>Source : <a href="http://www.ville-villeneuve-sur-lot.fr/vav-200805-videosurveillance.php">http://www.ville-villeneuve-sur-lot.fr/vav-200805-videosurveillance.php</> et <a href="http://www.ville-villeneuve-sur-lot.fr/a-la-une.php?id=371">http://www.ville-villeneuve-sur-lot.fr/a-la-une.php?id=371</>  	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.7952836,5.1145788	Villette D'anthon 	19 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.4483624,5.2500832	Vitrolles 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.7226925,4.5833373	Vitry-le-François	Source : <a href="http://www.lunion.presse.fr/index.php/cms/13/article/280299/Videosurveillance___Chalons_compte_bien_s_y_mettre">http://www.lunion.presse.fr/index.php/cms/13/article/280299/Videosurveillance___Chalons_compte_bien_s_y_mettre</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.6605132,4.7750777	Vourles (Rhône)	23 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	33,33	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
50.7016146,3.2154475	Wattrelos	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.0724367,7.2924096	Wintzenheim	2 caméras (démarré en mai 2009?)</br>Source : <a href="http://colmar.dna.fr/?Des-cameras-contre-la-delinquance">http://colmar.dna.fr/?Des-cameras-contre-la-delinquance</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.1509636,6.1510005	Woippy 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
